,0.6,0.7,0.8,0.9,1.0,1.1,1.2
0.0,203560549.61354956,236748435.8004604,265567435.42773226,283950354.31231785,319245337.13799196,341325429.3993999,368270478.7422164
0.1,182475755.98812246,213745535.83319086,247116630.78102085,284507274.5445534,322073711.1907633,344022554.8970324,370962129.5458087
0.2,185302965.80716082,217646495.79008493,251045632.00447798,283056543.8813739,315436644.43962187,342487906.62045276,374563067.3828214
0.3,185989663.28712338,216106350.4057902,249409547.28195074,281519820.21484494,313898877.6180854,340933548.9595253,372974146.7799344
0.4,198165489.62399855,219937743.46523228,253101774.7325807,285096357.6237225,317465410.15753245,344468482.71879864,371358798.74921453
0.5,196696294.2590309,221014351.6490377,251563911.19418898,283546175.0938798,315900328.5324827,342879271.2149004,374874631.6259779
0.6,195161786.053434,227205977.12584767,260322572.12791115,292290595.3567179,324602105.8618309,346229396.4085489,373287229.529598
0.7,198791132.45139995,225658462.17592898,258759903.53450662,285571815.8470056,312767858.64595085,339725651.05766803,371694437.5826218
0.8,197245184.00878593,229265908.39620703,262345220.44281533,294268160.28410673,321431751.710188,343209443.0963078,375087101.8124236
0.9,200863786.8605086,232860325.66570726,265918450.04170468,292686999.6687759,319853481.5365523,341588700.06116897,368458693.02200776
1.0,204471140.69469586,236297460.77216747,264336499.6110801,291108226.3772754,318254063.28697735,339973912.03330433,366846201.17410815
1.1,202898296.7964826,234862742.832298,262752870.0480663,289499859.19883883,316646867.75160205,338365042.931834,365232776.837788
