,0.6,0.7,0.8,0.9,1.0,1.1,1.2
0.0,129046291.95351838,158648805.2802217,187821693.2860334,217593192.84094304,245706611.4185911,266706004.76170126,296246324.463017
0.1,128136263.62268199,156787735.0318058,187347868.699165,216156135.9934501,245706611.41859123,266706004.76170102,296246324.4630165
0.2,128136263.62268202,156787735.0318063,187347868.69916564,216156135.9934507,245706611.4185913,266706004.7617015,296246324.4630166
0.3,128136263.62268196,156787735.0318062,187347868.69916517,216156135.99345124,245706611.418591,266706004.76170054,296246324.46301746
0.4,128136263.62268199,156787735.031806,187347868.69916517,216156135.99345064,245706611.41859123,266706004.76170066,296246324.4630164
0.5,128136263.62268244,156787735.03180638,187347868.699166,216156135.9934503,245706611.4185914,266706004.7617015,296246324.4630172
0.6,128136263.62268202,156787735.03180632,187347868.69916517,216156135.99345076,245706611.41859147,266706004.76170054,296246324.4630172
0.7,128136263.6226827,156787735.03180614,187347868.6991651,216156135.99345046,245706611.4185913,266706004.76170084,296246324.4630172
0.8,128136263.62268223,156787735.031806,187347868.6991657,216156135.9934503,245706611.41859123,266706004.76170084,296246324.4630171
0.9,128136263.62268244,156787735.0318063,187347868.69916564,216156135.99345076,245706611.41859147,266706004.76170036,296246324.46301675
1.0,128136263.62268217,156787735.0318064,187347868.69916576,216156135.9934511,245706611.41859123,266706004.76170018,296246324.4630172
1.1,128136263.62268214,156787735.0318061,187347868.69916606,216156135.99345016,245706611.41859147,266706004.7617015,296246324.46301734
