,0.6,0.7,0.8,0.9,1.0,1.1,1.2
0.0,7.68,9.0,10.2,11.52,12.72,13.992000000000003,15.264
0.1,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.2,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.3,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.4,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.5,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.6,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.7,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.8,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
0.9,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
1.0,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
1.1,7.632,8.904,10.176000000000002,11.448,12.72,13.992000000000003,15.264
