,0.6,0.7,0.8,0.9,1.0,1.1,1.2
0.0,73820598.10937318,77299906.28703593,76848330.63278605,65455552.371729515,72524701.83344631,73522532.32204902,71042225.8042849
0.1,53636288.69059223,56169219.06535809,58904679.38380542,67367061.14087042,75255639.3251522,76242945.64245817,73756347.176392
0.2,56375620.50610948,59981589.56824807,62744995.58337894,65944291.71896533,68782894.95320083,74811179.2661242,77362500.86749718
0.3,56987587.556798,58455204.74405126,61205359.21270868,64508178.234420806,67345075.77752061,73357918.7879164,75877718.19981906
0.4,69018438.92663218,62280551.15978293,64893812.75273393,68084739.94158092,70914441.42826822,76904261.09441464,74368619.14240691
0.5,67584342.59043686,63404810.13244323,63454329.586578235,66633015.857405625,69448241.95912656,75421882.99537258,77908157.34563331
0.6,66150648.97976466,69546615.20678756,72117815.9780815,75289027.8850982,78076833.77961186,78805696.84594034,76425902.54124834
0.7,69780679.42595282,68097937.86190693,70654400.45569101,68759890.02671055,66511095.005052954,72473936.95364156,74940271.3999824
0.8,68333627.13552457,71710063.27080885,74254344.55961472,77395190.87931986,75117597.43566912,75999220.7674757,78416748.10090587
0.9,71956984.31683703,75321900.37995706,77850796.70514742,75918717.75052704,73641242.47707324,74503167.38532223,71947820.47019379
1.0,75582335.0390381,78791664.61076906,76373928.61069997,74442631.15547717,72155960.02746746,73011159.83910838,70454244.95942363
1.1,74113697.8277385,77454301.35448878,74896923.06213982,72955818.83265625,70667589.97792439,71523089.08095922,68958047.16943228
