,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Ar,O2,CH4,CO2,DowthermA,N2,Solar Salt,water,H2O
d36,868.6974553497996,kg / s,14.0,bar,1578.925613432462,kJ / kg,303.5383873487914,C,-196.4616126512086,K,196.4616126512086,K,1.0715349983532156,m^3 / s,0.001233496186450482,m^3 / kg,0.0,-,493.5038842641146,J / kgK,l,,,,,1.0,,,,
d54,84.78450943547705,kg / s,6.0,bar,670.3772398411787,kJ / kg,158.8264772652176,C,0.0,K,0.0,K,0.09331398821715349,m^3 / s,0.0011006018533157589,m^3 / kg,0.0,-,1930.8252691338873,J / kgK,tp,,,,,,,,1.0,
d7,1091.8348454291665,kg / s,20.0,bar,1769.7598785052821,kJ / kg,394.6078584504477,C,-105.39214154955232,K,105.39214154955232,K,1.4984349020658578,m^3 / s,0.0013724006962581134,m^3 / kg,0.0,-,631.2257472745748,J / kgK,l,,,,,1.0,,,,
d80,107.36710122300894,kg / s,14.0,bar,1447.1642897565166,kJ / kg,240.79489988405555,C,-259.20510011594445,K,259.20510011594445,K,0.12380383788041284,m^3 / s,0.0011530891350346104,m^3 / kg,0.0,-,391.2974318052133,J / kgK,l,,,,,1.0,,,,
d84,2191.8348454291663,kg / s,35.0,bar,1566.429121148202,kJ / kg,297.8876767372391,C,-202.11232326276092,K,202.11232326276092,K,2.68674691844606,m^3 / s,0.0012257980677919137,m^3 / kg,0.0,-,484.8977827795825,J / kgK,l,,,,,1.0,,,,
d9,1100.0,kg / s,20.0,bar,1768.3782120572926,kJ / kg,393.94580994411933,C,-106.05419005588067,K,106.05419005588067,K,1.5084059171575337,m^3 / s,0.0013712781065068488,m^3 / kg,0.0,-,630.2470668739154,J / kgK,l,,,,,1.0,,,,
deaerator_cold_in,81.85679005750319,kg / s,6.0,bar,588.4639955324152,kJ / kg,139.80096600173755,C,-19.02551126348004,K,19.02551126348004,K,0.08835607003434713,m^3 / s,0.0010793981778698908,m^3 / kg,0.0,-,1736.9068494392677,J / kgK,l,,,,,,,,1.0,
h1_out,84.78450943547705,kg / s,40.0,bar,2827.9756887524236,kJ / kg,257.4577415515166,C,7.103696262733251,K,-7.103696262733251,K,4.3466583295130405,m^3 / s,0.051267128375861476,m^3 / kg,1.0,-,6121.100009472683,J / kgK,g,,,,,,,,1.0,
heater_h_hot_in,16.978911673882155,kg / s,17.0,bar,1717.2953035374283,kJ / kg,204.3069518903447,C,0.0,K,0.0,K,0.8822571633711608,m^3 / s,0.0519619384514671,m^3 / kg,0.4397704418439902,-,4142.096526307933,J / kgK,tp,,,,,,,,1.0,
heater_j_hot_in,4.927244039574109,kg / s,1.2,bar,1483.3405665554935,kJ / kg,104.78354962909663,C,0.0,K,0.0,K,3.277453477570414,m^3 / s,0.6651697077000682,m^3 / kg,0.46529567204469185,-,4123.271558006771,J / kgK,tp,,,,,,,,1.0,
heater_k_hot_in,8.82097874105337,kg / s,0.6,bar,1383.2345837148257,kJ / kg,85.92599826751842,C,0.0,K,0.0,K,10.759104781650754,m^3 / s,1.2197177997467818,m^3 / kg,0.44629340792359784,-,3995.341442488342,J / kgK,tp,,,,,,,,1.0,
l1_out,67.8055977615949,kg / s,6.0,bar,2960.608773900205,kJ / kg,251.4546402120617,C,92.6281629468441,K,-92.6281629468441,K,26.789516924795045,m^3 / s,0.3950929983537234,m^3 / kg,1.0,-,7189.079787726437,J / kgK,g,,,,,,,,1.0,
l2_out,64.87787838362104,kg / s,2.5,bar,2795.4943876421275,kJ / kg,164.48422530476205,C,37.07281883097403,K,-37.07281883097403,K,51.45159074693448,m^3 / s,0.7930529177095265,m^3 / kg,1.0,-,7241.174216115672,J / kgK,g,,,,,,,,1.0,
l3_out,62.130891012554784,kg / s,1.2,bar,2677.755841785733,kJ / kg,104.78354962909663,C,0.0,K,0.0,K,88.53589550941858,m^3 / s,1.4249899537337738,m^3 / kg,0.9976388838511143,-,7283.655907060817,J / kgK,tp,,,,,,,,1.0,
l4_out,59.950634344046925,kg / s,0.6,bar,2577.6413577891503,kJ / kg,85.92599826751842,C,0.0,K,0.0,K,158.39802825255512,m^3 / s,2.642140987925743,m^3 / kg,0.9671976875108531,-,7321.675644264953,J / kgK,tp,,,,,,,,1.0,
