,pr,pr_unit,dp,dp_unit,zeta,zeta_unit
valve_36,0.8333333333333334,-,2.8,bar,371.09339648712677,(Pa*s)/(m^3*s)
valve_50_51,0.425,-,23.0,bar,3496989.6631936138,(Pa*s)/(m^3*s)
valve_52_53,0.35294117647058826,-,11.0,bar,288581.6179304317,(Pa*s)/(m^3*s)
valve_69_71,0.13333333333333333,-,0.52,bar,1174.6815524561289,(Pa*s)/(m^3*s)
valve_7,0.5714612263557918,-,14.998,bar,1130.8119144727773,(Pa*s)/(m^3*s)
valve_73_74,0.5,-,0.6,bar,63059.771131823414,(Pa*s)/(m^3*s)
valve_76_77,0.48,-,1.3,bar,672858.4280125141,(Pa*s)/(m^3*s)
valve_80,0.7608695652173914,-,4.4,bar,40835.97391938447,(Pa*s)/(m^3*s)
valve_9,0.5714285714285714,-,15.0,bar,1115.1473156388868,(Pa*s)/(m^3*s)
