,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
condense_pump,69621.60010678472,W,76.875,-,-6.07,bar,0.7999999999635008,-
oil_recycle_pump1,-1726069.9407744478,W,2.5,-,-21.0,bar,0.800000000000473,-
oil_recycle_pump2,-2872.1624381037877,W,1.4285714285714286,-,-6.0,bar,0.8800000000013204,-
steam_recycle_pump,154.133123622409,W,1.0000199004975125,-,-0.002,bar,0.8000000001280739,-
water_recycle_pump,1106533.3507792316,W,16.85,-,-95.1,bar,0.8,-
