,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
gas_turbine,-392856400.8067133,W,0.06,-,14.1,bar,0.88,-
hp_turbine1,-15084132.133618051,W,0.4,-,60.0,bar,0.8799999999999933,-
hp_turbine2,-10870984.219841186,W,0.425,-,23.0,bar,0.8799999999999956,-
lp_turbine1,-15613671.071507763,W,0.36363636363636365,-,10.5,bar,0.8800000000000059,-
lp_turbine2,-10712271.071037801,W,0.4166666666666667,-,3.5,bar,0.8799999999999988,-
lp_turbine3,-7315200.76058032,W,0.48,-,1.3,bar,0.8799999999999968,-
lp_turbine4,-6001926.822622066,W,0.5,-,0.6,bar,0.8799999999999923,-
lp_turbine5,-14128363.081280995,W,0.13333333333333333,-,0.52,bar,0.8799999999999978,-
