,Q,Q_unit,kA,kA_unit,KDTA,KDTA_unit,DTM,DTM_unit,DT_log,DT_log_unit,DTU,DTU_unit,DTL,DTL_unit,DTN_min,DTN_min_unit,pr1,pr1_unit,pr2,pr2_unit,dp1,dp1_unit,dp2,dp2_unit,hf1,hf1_unit,hf2,hf2_unit,fA,fA_unit,exm1,exm1_unit,exm2,exm2_unit,zeta1,zeta1_unit,zeta2,zeta2_unit,eff_cold,eff_cold_unit,eff_hot,eff_hot_unit,eff_max,eff_max_unit,DTU_sh,DTU_sh_unit,supercooling_dT,supercooling_dT_unit
heatexchanger_g,-17879755.578693107,W,660785.1555013157,W/K,881695.2933317196,W/K,,C,27.058349343711168,C,12.103696262733365,C,51.04709339843862,C,12.103696262733365,C,1.0,-,0.9995051954477981,-,0.0,bar,0.05,bar,50.0,W/m^2*K,500.0,W/m^2*K,19397.29645329783,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),721.8348215596368,(Pa*s)/(m^3*s),0.7837499292153566,-,0.880003474390266,-,0.880003474390266,-,5.000000000000114,C,0.0,C
heatexchanger_h,-14356607.79358515,W,803495.2078438428,W/K,806927.3907023456,W/K,,C,17.867695604695278,C,4.999999999999943,C,43.76012649621151,C,4.999999999999943,C,1.0,-,0.9995054401582592,-,0.0,bar,0.05,bar,50.0,W/m^2*K,500.0,W/m^2*K,17752.402595451604,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),765.1675553080186,(Pa*s)/(m^3*s),0.8836935456546087,-,0.8139562940219567,-,0.8836935456546087,-,4.999999999999943,C,0.0,C
heatexchanger_i,-6208601.844209688,W,180768.71251713944,W/K,402479.70380307926,W/K,,C,34.345555476703545,C,42.072818830971755,C,27.627856844700204,C,27.627856844700204,C,1.0,-,0.9917355371900827,-,0.0,bar,0.05,bar,50.0,W/m^2*K,500.0,W/m^2*K,8854.553483667743,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),1392.1739756990432,(Pa*s)/(m^3*s),0.04069988321299239,-,0.9507895465722377,-,0.9507895465722377,-,4.999999999997726,C,0.0,C
heatexchanger_j,-5143949.711172488,W,426262.0890594351,W/K,426239.770701309,W/K,,C,12.067574957282325,C,5.000000000008811,C,23.857551361581272,C,5.000000000008811,C,1.0,-,0.9918032786885246,-,0.0,bar,0.05,bar,50.0,W/m^2*K,500.0,W/m^2*K,9377.274955428798,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),1414.2806040619348,(Pa*s)/(m^3*s),0.7899217781639424,-,0.9122647152756995,-,0.9122647152756995,-,5.000000000008811,C,0.0,C
heatexchanger_k,-9026753.432876958,W,552529.4166703828,W/K,552354.2024041103,W/K,,C,16.337145427067753,C,5.0000000000030695,C,38.234780152510666,C,5.0000000000030695,C,1.0,-,0.991869918699187,-,0.0,bar,0.05,bar,50.0,W/m^2*K,500.0,W/m^2*K,12151.792452890428,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),1436.604624825347,(Pa*s)/(m^3*s),0.868905319474759,-,0.8646586547737922,-,0.868905319474759,-,5.0000000000030695,C,0.0,C
