,lamb,lamb_unit,ti,ti_unit,T_out,T_out_unit,pr,pr_unit,dp,dp_unit,eta,eta_unit,Q_loss,Q_loss_unit
fuel_combustion,3.306518880378784,-,70086852.79377666,W,1100.6438307345416,C,0.9996428571428572,-,0.005,bar,0.9989999999999999,-,-70086.8527937845,W
gas_re_combustion,30.51622489299584,-,5297399.983189868,W,600.0,C,1.0,-,0.0,bar,0.999000000000001,-,-5297.3999831845795,W
