,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
gas_turbine,-54617627.51860965,W,0.07145409074669525,-,12.995,bar,0.8580000000000003,-
turbine1,-5562728.934057663,W,0.18947368421052632,-,38.5,bar,0.8800000000000007,-
turbine2,-2224224.312479456,W,0.4444444444444444,-,5.0,bar,0.880000000000047,-
turbine3,-2155485.385502471,W,0.375,-,2.5,bar,0.8799999999999983,-
turbine4,-1860184.4588204026,W,0.3333333333333333,-,1.0,bar,0.8799999999979449,-
turbine5,-3320978.332515493,W,0.08,-,0.46,bar,0.9000000000000079,-
