,Q,Q_unit,kA,kA_unit,KDTA,KDTA_unit,DTM,DTM_unit,DT_log,DT_log_unit,DTU,DTU_unit,DTL,DTL_unit,DTN_min,DTN_min_unit,pr1,pr1_unit,pr2,pr2_unit,dp1,dp1_unit,dp2,dp2_unit,hf1,hf1_unit,hf2,hf2_unit,fA,fA_unit,exm1,exm1_unit,exm2,exm2_unit,zeta1,zeta1_unit,zeta2,zeta2_unit,eff_cold,eff_cold_unit,eff_hot,eff_hot_unit,eff_max,eff_max_unit,DTU_sh,DTU_sh_unit,supercooling_dT,supercooling_dT_unit
extract_heat_exchanger1_turbine3,-1375925.4212914628,W,24319.120906307966,W/K,40869.60909331089,W/K,,C,56.57792592883451,C,66.70429958153386,C,47.53226097602504,C,47.53226097602504,C,1.0,-,0.8823529411764706,-,0.0,bar,0.2,bar,50.0,W/m^2*K,500.0,W/m^2*K,899.1314000528396,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),169106.1139721597,(Pa*s)/(m^3*s),0.045796369957597144,-,0.9207499880729847,-,0.9207499880729847,-,19.99999999999983,C,0.0,C
extract_heat_exchanger1_turbine4,-1395188.0186103345,W,42869.85644184866,W/K,42866.34022058342,W/K,,C,32.544732695871154,C,20.00000000001063,C,49.480582590630945,C,20.00000000001063,C,1.0,-,0.8974358974358975,-,0.0,bar,0.2,bar,50.0,W/m^2*K,500.0,W/m^2*K,943.0594848528352,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),190361.00523191947,(Pa*s)/(m^3*s),0.595190734279313,-,0.9167372769524745,-,0.9167372769524745,-,20.00000000001063,C,0.0,C
