,Q,Q_unit,kA,kA_unit,KDTA,KDTA_unit,DTM,DTM_unit,DT_log,DT_log_unit,DTU,DTU_unit,DTL,DTL_unit,DTN_min,DTN_min_unit,pr1,pr1_unit,pr2,pr2_unit,dp1,dp1_unit,dp2,dp2_unit,hf1,hf1_unit,hf2,hf2_unit,fA,fA_unit,exm1,exm1_unit,exm2,exm2_unit,zeta1,zeta1_unit,zeta2,zeta2_unit,eff_cold,eff_cold_unit,eff_hot,eff_hot_unit,eff_max,eff_max_unit
extract_heat_exchanger2_turbine3,-106351.16314326607,W,5026.008656324397,W/K,5014.7864957255615,W/K,,C,21.160163146444404,C,47.53226097602504,C,7.000000000015575,C,7.000000000015575,C,1.0,-,0.9714285714285714,-,0.0,bar,0.05,bar,50.0,W/m^2*K,500.0,W/m^2*K,110.32530290596235,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),42669.36808756919,(Pa*s)/(m^3*s),0.04275660690123679,-,0.8596138822974307,-,0.8596138822974307,-
extract_heat_exchanger2_turbine4,-115036.78635624346,W,5295.9257645717535,W/K,5287.997513569882,W/K,,C,21.72175205434469,C,49.480582590630945,C,7.000000000032173,C,7.000000000032173,C,1.0,-,0.975,-,0.0,bar,0.05,bar,50.0,W/m^2*K,500.0,W/m^2*K,116.33594529853741,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),47912.868319650086,(Pa*s)/(m^3*s),0.04677587521763601,-,0.8653342558467232,-,0.8653342558467232,-
main_heat_exchanger1,-9959284.305496925,W,168180.68816886732,W/K,150697.3914518409,W/K,,C,59.21776402470764,C,5.0000000000012506,C,232.31720476093142,C,5.0000000000012506,C,1.0,-,0.995850622406639,-,0.0,bar,0.2,bar,50.0,W/m^2*K,500.0,W/m^2*K,3315.3426119404994,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),3011.233556666088,(Pa*s)/(m^3*s),0.9867321078710818,-,0.321906851450433,-,0.9867321078710818,-
main_heat_exchanger2,-6467044.85001638,W,126354.19980818476,W/K,128927.83732624911,W/K,,C,51.18187491855311,C,30.000000000035755,C,80.55370664392842,C,30.000000000035755,C,1.0,-,0.9958677685950413,-,0.0,bar,0.2,bar,50.0,W/m^2*K,500.0,W/m^2*K,2836.41242117748,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),156370.00679131073,(Pa*s)/(m^3*s),0.23409769847503561,-,0.4827645002373226,-,0.4827645002373226,-
main_heat_exchanger3,-137861.1665946111,W,5174.497576469177,W/K,5201.191004530044,W/K,,C,26.64242557993056,C,7.000000000241073,C,67.2974707330568,C,7.000000000241073,C,1.0,-,0.9782608695652174,-,0.0,bar,0.2,bar,50.0,W/m^2*K,500.0,W/m^2*K,114.42620209966096,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),84405121.87492137,(Pa*s)/(m^3*s),0.11460890187928001,-,0.02328994851912593,-,0.11460890187928001,-
