,Q,Q_unit,kA,kA_unit,KDTA,KDTA_unit,DTM,DTM_unit,DT_log,DT_log_unit,DTU,DTU_unit,DTL,DTL_unit,DTN_min,DTN_min_unit,pr1,pr1_unit,pr2,pr2_unit,dp1,dp1_unit,dp2,dp2_unit,hf1,hf1_unit,hf2,hf2_unit,fA,fA_unit,exm1,exm1_unit,exm2,exm2_unit,zeta1,zeta1_unit,zeta2,zeta2_unit,eff_cold,eff_cold_unit,eff_hot,eff_hot_unit,eff_max,eff_max_unit
heatexchanger_a,-27763500.01090201,W,1508270.0696871926,W/K,1487008.7168010462,W/K,,C,18.407512400388622,C,53.4010529200915,C,3.5618654677829227,C,3.5618654677829227,C,1.0,-,0.9997407662169516,-,0.0,bar,0.05008382947538048,bar,50.0,W/m^2*K,500.0,W/m^2*K,32714.191769623012,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),16.97138919023459,(Pa*s)/(m^3*s),0.17076074847950018,-,0.9462451988804421,-,0.9462451988804421,-
heatexchanger_f,-4119044.8624584046,W,263175.04297540674,W/K,262275.74090355186,W/K,,C,15.651350583586005,C,38.32398501236759,C,4.381640446908534,C,4.381640446908534,C,1.0,-,0.9876434319025686,-,0.0,bar,0.05003751200388884,bar,50.0,W/m^2*K,500.0,W/m^2*K,5770.066299878141,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),26.799492779454262,(Pa*s)/(m^3*s),0.05112973895062534,-,0.8922373016683806,-,0.8922373016683806,-
heatexchanger_h,-9749068.15573074,W,600641.1651860566,W/K,599136.0365821285,W/K,,C,16.231102230082474,C,40.34243661347813,C,4.408352542725709,C,4.408352542725709,C,1.0,-,0.987921108216169,-,0.0,bar,0.050123405872607836,bar,50.0,W/m^2*K,500.0,W/m^2*K,13180.992804806827,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),27.507211616778033,(Pa*s)/(m^3*s),0.10905411433072328,-,0.9030046266267946,-,0.9030046266267946,-
heatexchanger_j,-8487807.603325011,W,616982.5034033853,W/K,616455.6954273141,W/K,,C,13.756966456106541,C,27.809770456721935,C,5.4902296273346565,C,5.4902296273346565,C,1.0,-,0.9882100233773586,-,0.0,bar,0.05010614727505133,bar,50.0,W/m^2*K,500.0,W/m^2*K,13562.02529940091,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),27.817033133253826,(Pa*s)/(m^3*s),0.13441142495916872,-,0.8292320909522323,-,0.8292320909522323,-
