,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
turbine1,-286707361.8526639,W,0.20073298429319372,-,152.66,bar,0.9988000000000002,-
turbine2,-116854877.58152722,W,0.5529311326124076,-,15.71,bar,0.9986631918702704,-
turbine3,-117576361.22348252,W,0.46320123520329387,-,10.43,bar,0.9959225913270275,-
turbine4,-119511048.83512422,W,0.38222222222222224,-,5.56,bar,0.9984887760508623,-
turbine5,-100963307.89145288,W,0.33430232558139533,-,2.29,bar,0.9976430005857692,-
turbine6,-102350796.86755858,W,0.2121739130434783,-,0.9059999999999998,bar,0.9970334203506153,-
turbine7,-87657872.1843595,W,0.1885245901639344,-,0.198,bar,0.9978988332485483,-
