,Q,Q_unit,kA,kA_unit,KDTA,KDTA_unit,DTM,DTM_unit,DT_log,DT_log_unit,DTU,DTU_unit,DTL,DTL_unit,DTN_min,DTN_min_unit,pr1,pr1_unit,pr2,pr2_unit,dp1,dp1_unit,dp2,dp2_unit,hf1,hf1_unit,hf2,hf2_unit,fA,fA_unit,exm1,exm1_unit,exm2,exm2_unit,zeta1,zeta1_unit,zeta2,zeta2_unit,eff_cold,eff_cold_unit,eff_hot,eff_hot_unit,eff_max,eff_max_unit,DTU_sh,DTU_sh_unit,supercooling_dT,supercooling_dT_unit
heatexchanger_b,-123279196.4994631,W,6246085.006764973,W/K,6281324.720858569,W/K,,C,19.73703469708507,C,4.4774794308989385,C,53.4010529200915,C,4.4774794308989385,C,1.0,-,0.9997418620558587,-,0.0,bar,0.04985918544262648,bar,50.0,W/m^2*K,500.0,W/m^2*K,138189.1438588885,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),16.33193050991861,(Pa*s)/(m^3*s),0.9143817741380599,-,0.8350546680981874,-,0.9143817741380599,-,4.4774794308989385,C,0.0,C
heatexchanger_c,-99181258.9909264,W,1601778.289466036,W/K,4427412.192244777,W/K,,C,61.919467658654035,C,88.28770625373534,C,41.41038320617804,C,41.41038320617804,C,1.0,-,0.9997424887601168,-,0.0,bar,0.049725298599228265,bar,50.0,W/m^2*K,500.0,W/m^2*K,97403.0682293851,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),15.405807182968674,(Pa*s)/(m^3*s),0.26921051273822927,-,0.9110302981671607,-,0.9110302981671607,-,3.700521247609686,C,0.0,C
heatexchanger_e,-64005362.128821015,W,923074.3807779052,W/K,2700434.3542425944,W/K,,C,69.33933327765156,C,113.77593124669585,C,38.32398501236759,C,38.32398501236759,C,1.0,-,0.9875054309318492,-,0.0,bar,0.04997114520045463,bar,50.0,W/m^2*K,500.0,W/m^2*K,59409.55579333707,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),26.384024508585146,(Pa*s)/(m^3*s),0.053670032748719454,-,0.9359457726680898,-,0.9359457726680898,-,6.19245809841658,C,0.0,C
heatexchanger_g,-68322524.67211895,W,3856276.0761505538,W/K,3856616.664688454,W/K,,C,17.71722857050226,C,5.713816392820206,C,40.34243661347813,C,5.713816392820206,C,1.0,-,0.9877842392951792,-,0.0,bar,0.05007907109418477,bar,50.0,W/m^2*K,500.0,W/m^2*K,84845.56662314598,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),27.141393276308364,(Pa*s)/(m^3*s),0.85782967465505,-,0.8765907338537493,-,0.8765907338537493,-,5.713816392820206,C,0.0,C
heatexchanger_i,-42539895.56424259,W,2961694.938712625,W/K,2960571.721609963,W/K,,C,14.363361671115804,C,6.160208285540477,C,27.809770456721935,C,6.160208285540477,C,1.0,-,0.9880664703236373,-,0.0,bar,0.05011828929702577,bar,50.0,W/m^2*K,500.0,W/m^2*K,65132.577875419185,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),27.671215915601948,(Pa*s)/(m^3*s),0.7782893698138862,-,0.8276323285847889,-,0.8276323285847889,-,6.160208285540477,C,0.0,C
heatexchanger_k,-1677204.7581640414,W,18962.57223434702,W/K,23087.550832177592,W/K,,C,88.44816712819744,C,107.0639648852711,C,72.1264901469088,C,72.1264901469088,C,1.0,-,0.9883473701864111,-,0.0,bar,0.05010630819843267,bar,50.0,W/m^2*K,500.0,W/m^2*K,507.926118307907,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),27.841533058773546,(Pa*s)/(m^3*s),0.007853485447126555,-,0.8846976633560566,-,0.8846976633560566,-,71.27154395294787,C,0.0,C
