,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
condense_pump,253371.0363701531,W,93.47826086956522,-,-4.254,bar,0.7987698646407838,-
recycle_pump,14812698.634562466,W,48.98503323112064,-,-189.2555596680304,bar,0.799569550155794,-
