,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
turbine1,-212773357.8835543,W,0.2157068062827225,-,149.8,bar,0.8800000000000007,-
turbine2,-90274026.80690512,W,0.5657894736842105,-,16.5,bar,0.8799999999999988,-
turbine3,-91683192.50390385,W,0.4762790697674419,-,11.26,bar,0.8800000000000014,-
turbine4,-100426638.49642836,W,0.380859375,-,6.34,bar,0.8799999999999997,-
turbine5,-88445408.73403019,W,0.32564102564102565,-,2.63,bar,0.879999999999999,-
turbine6,-93802182.71892013,W,0.19763779527559056,-,1.019,bar,0.88,-
turbine7,-69022787.0138917,W,0.23107569721115537,-,0.193,bar,0.8799999999999986,-
