,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
gas_turbine,-54617627.51860968,W,0.07145409074669523,-,12.995000000000003,bar,0.8579999999999999,-
turbine1,-5563003.662591279,W,0.18947368421052632,-,38.5,bar,0.8799995477892223,-
turbine2,-2224621.3567778855,W,0.4444444444444444,-,5.0,bar,0.879997833292126,-
turbine3,-3424721.8476868137,W,0.175,-,3.3,bar,0.8799046826465229,-
turbine4,-538470.8374326404,W,0.7142857142857143,-,0.2,bar,0.8799315590779355,-
turbine5,-2057663.250141182,W,0.24,-,0.38,bar,0.8996737989149451,-
