,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit
evaporate_pump1,0.0,W,1.0,-,0.0,bar,0.8,-
evaporate_pump2,0.0,W,1.0,-,0.0,bar,0.8,-
extract_pump_turbine3,27.453858434255306,W,2.4927143985403366,-,-1.0449000789782354,bar,0.7446156795949344,-
extract_pump_turbine4,64.76125722746856,W,4.0,-,-1.5,bar,0.7500210519597141,-
recycle_pump1,2592.1864614205238,W,16.666666666666668,-,-1.88,bar,0.7929161981690876,-
recycle_pump21,72684.48682682778,W,32.07780659588773,-,-46.891168657204744,bar,0.7999690992560705,-
recycle_pump22,528.0732294609074,W,6.0974343116150225,-,-7.691168657204738,bar,0.7992430462767648,-
