,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
hot_side---pressure (bar),1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198,1.198
hot_side---enthalpy (kJ / kg),2844.69875748254,2716.5657990924474,2642.106321594142,2581.2563629337524,2520.38745920811,2459.4996045344724,2398.592793028376,2337.6670188036182,2276.7222759722276,2215.758558644492,2154.7758609289535,2093.7741769324025,2032.753500759883,1971.7138265146937,1910.6551482983841,1849.577460210755,1788.48075634985,1727.3650308119697,1666.2302776916663,1605.076491081739,1605.0664259115927,1543.8745455394876,1482.6636080172595,1421.4336074270288,1360.1845378491525,1298.9163933622608,1237.629168043204,1176.3228559670729,1114.9974512072054,1053.652947835218,992.2893399209353,930.9066215324591,869.5047867360857,808.0838295964179,746.643744176232,685.1845245366256,623.7061647368802,562.2086588345294,500.69200088536996,439.1561849434416
hot_side---temperature (C),184.9580792522151,120.97470780450686,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542506,104.73543248542501,104.73543248542501,104.73543248542501,104.73543248542495,104.73543248542501
hot_side---vapor mass fraction (-),,,0.9817844257024252,0.9546655451052292,0.9275382212983121,0.9004024516599234,0.8732582335675463,0.8461055643978882,0.8189444415268686,0.7917748623296313,0.764596824180542,0.7374103244531852,0.710215360520368,0.6830119297541188,0.6558000295256873,0.628579657205543,0.6013508101633728,0.5741134857680867,0.5468676813878156,0.5196133943899088,0.5196089086654581,0.49233764449598477,0.46505788716414803,0.43776963403253827,0.4104728824629597,0.3831676298164475,0.3558538734532428,0.32853161073280357,0.30120083901380584,0.2738615556541585,0.24651375801097228,0.2191574434405897,0.19179260929854894,0.16441925293963308,0.1370373717178114,0.10964696298630523,0.08224802409752614,0.05484055240310692,0.027424545253906325,0.0
hot_side---differ number (),18.08274951971168,17.60931732569149,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0000000090667314,2.0,2.0,2.0,2.0,2.0000000090667314,2.0,2.0,2.0,2.0,5.778481551663788
cold_side---pressure (bar),4.249159312713044,4.250497225536384,4.251835138359726,4.253173051183067,4.254510964006407,4.255848876829749,4.2571867896530895,4.25852470247643,4.259862615299771,4.261200528123112,4.262538440946454,4.263876353769795,4.265214266593135,4.266552179416476,4.267890092239817,4.269228005063158,4.270565917886499,4.27190383070984,4.273241743533181,4.274579656356522,4.274579656356522,4.275917569179863,4.277255482003204,4.278593394826545,4.2799313076498855,4.281269220473226,4.282607133296567,4.283945046119909,4.28528295894325,4.286620871766591,4.287958784589931,4.289296697413272,4.290634610236613,4.291972523059955,4.293310435883295,4.2946483487066365,4.295986261529977,4.297324174353318,4.298662087176659,4.3
cold_side---enthalpy (kJ / kg),135.83746841427,135.63915371724065,135.52391085617998,135.42973179977167,135.33552342159535,135.24128571254624,135.14701866351672,135.0527222653966,134.95839650907288,134.86404138542994,134.7696568853494,134.67524299971018,134.58079971938852,134.48632703525791,134.39182493818922,134.29729341905048,134.20273246870715,134.10814207802193,134.01352223785474,133.9188729390629,133.91885736117518,133.82414910368138,133.72941135094294,133.63464409380063,133.53984732309243,133.44502102965373,133.35016520431708,133.25527983791235,133.1603649212667,133.06542044520464,132.97044640054781,132.87544277811534,132.78040956872343,132.68534676318575,132.59025435231305,132.4951323269136,132.39998067779274,132.3047993957532,132.209588471595,132.1143478961154
cold_side---temperature (C),32.326021750666655,32.278533191439294,32.25092494019401,32.22835756701102,32.205783186301176,32.18320179601591,32.16061339408202,32.138017978392384,32.1154155468746,32.09280609744866,32.07018962802766,32.047566136531486,32.024935620881365,32.00229807899353,31.979653508784452,31.9570019081616,31.934343275048263,31.91167760736215,31.889004903014893,31.86632515991863,31.86632143193765,31.843627590478036,31.820926701729434,31.798218763599834,31.775503773987055,31.75278173083592,31.730052632024467,31.707316475458242,31.684573259048477,31.66182298074409,31.63906563841192,31.616301229998612,31.593529753354233,31.570751206460557,31.5479655871427,31.525172893400907,31.502373123071436,31.479566274072397,31.456752344334973,31.43393133176596
cold_side---vapor mass fraction (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_side---differ number (),2.01181581143606,2.0118158068613625,2.011815795663176,2.0118157886046704,2.0118157824161993,2.0118157748244463,2.0118157673870547,2.0118157620265196,2.011815756806312,2.01181574812,2.0118157439943527,2.0118157352378763,2.011815725976218,2.0118157230152947,2.011815721766374,2.011815709122808,2.0118157059794575,2.0118157009697426,2.011815693139432,2.0118156824183613,2.011815684046168,2.0118156784190093,2.011815666687576,2.0118156690871873,2.011815652444269,2.011815648978164,2.011815643140513,2.0118156377238465,2.011815633149149,2.011815623157785,2.0118156131102896,2.011815610794875,2.011815600887708,2.0118155908542454,2.0118155841184944,2.0118155726536844,2.0118155685420698,2.0118155574140477,2.0118155525727266,2.0118155473525197
