,P,P_unit,pr,pr_unit,dp,dp_unit,eta_s,eta_s_unit,igva,igva_unit
air_compressor,31103978.00801564,W,14.314928425357873,-,-13.022,bar,0.8449999999999999,-,0.0,deg
fuel_compressor,338395.48250019766,W,3.3333333333333335,-,-10.5,bar,0.85,-,0.0,deg
