,Q,Q_unit,kA,kA_unit,KDTA,KDTA_unit,DTM,DTM_unit,DT_log,DT_log_unit,DTU,DTU_unit,DTL,DTL_unit,DTN_min,DTN_min_unit,pr1,pr1_unit,pr2,pr2_unit,dp1,dp1_unit,dp2,dp2_unit,hf1,hf1_unit,hf2,hf2_unit,fA,fA_unit,exm1,exm1_unit,exm2,exm2_unit,zeta1,zeta1_unit,zeta2,zeta2_unit,eff_cold,eff_cold_unit,eff_hot,eff_hot_unit,eff_max,eff_max_unit,DTU_sh,DTU_sh_unit,supercooling_dT,supercooling_dT_unit
extract_heat_exchanger1_turbine3,-440024.5709663584,W,19261.888357182477,W/K,22351.741330517958,W/K,,C,22.84431114991276,C,21.389181816513997,C,24.36398579155167,C,21.389181816513997,C,1.0,-,0.8888858979695338,-,0.0,bar,0.18860962937209785,bar,50.0,W/m^2*K,500.0,W/m^2*K,491.73830927139505,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),169107.24109147568,(Pa*s)/(m^3*s),0.2968552577655762,-,0.9573588381924916,-,0.9573588381924916,-,15.305995539989112,C,0.0,C
extract_heat_exchanger1_turbine4,-730105.7053422554,W,31787.243219738364,W/K,31786.191770259626,W/K,,C,22.96851288094384,C,16.160652382957267,C,31.463110061786608,C,16.160652382957267,C,1.0,-,0.8953389546429755,-,0.0,bar,0.20397087087787805,bar,50.0,W/m^2*K,500.0,W/m^2*K,699.2962189457118,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),190362.26637198514,(Pa*s)/(m^3*s),0.4858055915936632,-,0.9454243561492117,-,0.9454243561492117,-,16.160652382957267,C,0.0,C
