,lamb,lamb_unit,ti,ti_unit,T_out,T_out_unit,pr,pr_unit,dp,dp_unit,eta,eta_unit,Q_loss,Q_loss_unit
fuel_combustion,3.306518880378784,-,70086852.79377666,W,1100.6438307345416,C,0.9996428571428573,-,0.004999999999997672,bar,0.9990000000000001,-,-70086.85279376894,W
gas_re_combustion,30.516224892995734,-,5297399.983189886,W,600.0,C,1.0,-,0.0,bar,0.9989999999999961,-,-5297.3999832104755,W
