,Q,Q_unit,kA,kA_unit,KDTA,KDTA_unit,DTM,DTM_unit,DT_log,DT_log_unit,DTU,DTU_unit,DTL,DTL_unit,DTN_min,DTN_min_unit,pr1,pr1_unit,pr2,pr2_unit,dp1,dp1_unit,dp2,dp2_unit,hf1,hf1_unit,hf2,hf2_unit,fA,fA_unit,exm1,exm1_unit,exm2,exm2_unit,zeta1,zeta1_unit,zeta2,zeta2_unit,eff_cold,eff_cold_unit,eff_hot,eff_hot_unit,eff_max,eff_max_unit,superheat_dT,superheat_dT_unit
evaporator1,-20539086.97294848,W,346850.54919427197,W/K,341019.70168254623,W/K,4.999714836986868,C,59.21595632660936,C,232.3120417596033,C,4.999714836986982,C,4.999714836986982,C,1.0,-,1.0,-,0.0,bar,0.0,bar,50.0,W/m^2*K,500.0,W/m^2*K,6820.394033650925,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),0.0,(Pa*s)/(m^3*s),0.0764267540126665,-,0.9790475568604412,-,0.9790475568604412,-,0.0,C
evaporator2,-1061069.1620298969,W,106922.74983067626,W/K,106861.45656732947,W/K,5.023790587905182,C,9.923698779822018,C,17.28746978695159,C,5.023790587891369,C,5.023790587891369,C,1.0,-,1.0,-,0.0,bar,0.0,bar,50.0,W/m^2*K,500.0,W/m^2*K,2137.2291313465894,m^2,0.61,-,0.784,-,0.0,(Pa*s)/(m^3*s),0.0,(Pa*s)/(m^3*s),0.09814474373674928,-,0.7097264685522088,-,0.7097264685522088,-,5.684341886080802e-14,C
