,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Water
c55,103.04156531618456,kg / s,19.43,bar,901.8322828677568,kJ / kg,210.91988988544153,C,0.0,K,0.0,K,0.12099877489231495,m^3 / s,0.001174271513840346,m^3 / kg,0.0,-,2433.142789380696,J / kgK,tp,1
c56,580.486,kg / s,193.14938611010146,bar,676.0336313500817,kJ / kg,157.51883696535003,C,-205.32263883382223,K,205.32263883382223,K,0.6306232577546105,m^3 / s,0.0010863711747649565,m^3 / kg,0.0,-,1896.4994276068962,J / kgK,l,1
c57,52.89452130940823,kg / s,19.43,bar,3068.000954385762,kJ / kg,318.4428232277936,C,107.52293334235208,K,-107.52293334235208,K,7.11039436901349,m^3 / s,0.1344259139320121,m^3 / kg,1.0,-,6856.385868529003,J / kgK,g,1
c58,50.14704400677634,kg / s,19.43,bar,1075.336857230229,kJ / kg,210.9198898854416,C,5.684341886080802e-14,K,-5.684341886080802e-14,K,0.5236332437267835,m^3 / s,0.010441956332581145,m^3 / kg,0.0915183815526424,-,2791.5715575974777,J / kgK,tp,1
c59,580.486,kg / s,193.09952692465882,bar,888.4060166828485,kJ / kg,206.4424104545426,C,-156.37755947807182,K,156.37755947807182,K,0.6670210313171141,m^3 / s,0.0011490734166148954,m^3 / kg,0.0,-,2363.423905857447,J / kgK,l,1
c6,0.01,kg / s,38.34,bar,3053.1455387852993,kJ / kg,332.4399786668463,C,84.58718500612565,K,-84.58718500612565,K,0.0006695222345075028,m^3 / s,0.06695222345075028,m^3 / kg,1.0,-,6536.907376585278,J / kgK,g,1
c60,50.14704400677634,kg / s,38.34,bar,1075.336857230229,kJ / kg,247.85279366072064,C,0.0,K,0.0,K,0.06252235909086115,m^3 / s,0.001246780549665351,m^3 / kg,0.0,-,2773.8855903046906,J / kgK,tp,1
c61,50.14704400677634,kg / s,38.34,bar,3053.1455387852993,kJ / kg,332.4399786668463,C,84.58718500612565,K,-84.58718500612565,K,3.357456095736297,m^3 / s,0.06695222345075028,m^3 / kg,1.0,-,6536.907376585278,J / kgK,g,1
c62,580.486,kg / s,193.0498016260596,bar,1059.265019296032,kJ / kg,244.15227241311095,C,-118.64624442863544,K,118.64624442863544,K,0.7049373773370017,m^3 / s,0.001214391694781617,m^3 / kg,0.0,-,2706.278371974801,J / kgK,l,1
c63,580.486,kg / s,193.0,bar,1094.8385290744357,kJ / kg,251.75645998777713,C,-111.02056585315415,K,111.02056585315415,K,0.7140709589565271,m^3 / s,0.0012301260649809419,m^3 / kg,0.0,-,2774.5558208420184,J / kgK,l,1
c64,530.3209559932236,kg / s,38.34,bar,3053.1455387852993,kJ / kg,332.4399786668463,C,84.58718500612565,K,-84.58718500612565,K,35.50616714627381,m^3 / s,0.06695222345075028,m^3 / kg,1.0,-,6536.907376585278,J / kgK,g,1
c65,0.018000000000000002,kg / s,1.15,bar,3272.6637533545672,kJ / kg,397.2626013495575,C,293.70236687845295,K,-293.70236687845295,K,0.04835584900578706,m^3 / s,2.6864360558770586,m^3 / kg,-1.0,-,8471.95994532646,J / kgK,state not recognised,1
c7,580.478,kg / s,191.0,bar,3547.061521566152,kJ / kg,599.999999998664,C,238.09017036880073,K,-238.09017036880073,K,11.1088776531242,m^3 / s,0.01913746542181478,m^3 / kg,-1.0,-,6535.927298525109,J / kgK,state not recognised,1
c8,580.468,kg / s,38.34,bar,3053.1455387852993,kJ / kg,332.4399786668463,C,84.58718500612565,K,-84.58718500612565,K,38.86362324201011,m^3 / s,0.06695222345075028,m^3 / kg,1.0,-,6536.907376585278,J / kgK,g,1
c9,477.4264346838154,kg / s,19.43,bar,3458.3991256315408,kJ / kg,495.24995049483925,C,284.3300606093977,K,-284.3300606093977,K,85.81217968575298,m^3 / s,0.1797390622967572,m^3 / kg,-1.0,-,7434.091210597808,J / kgK,state not recognised,1
condenser_hot_in,470.0707853757587,kg / s,0.046,bar,1915.7639664490569,kJ / kg,31.398329021684617,C,0.0,K,0.0,K,10539.366515212052,m^3 / s,22.420807340297138,m^3 / kg,0.7352951729766495,-,6314.452838999628,J / kgK,tp,1
d65,0.017999999999921554,kg / s,1.15,bar,3272.6637533545672,kJ / kg,397.2626013495575,C,293.70236687845295,K,-293.70236687845295,K,0.04835584900557632,m^3 / s,2.6864360558770586,m^3 / kg,-1.0,-,8471.95994532646,J / kgK,state not recognised,1
deaerator_cold_in,573.1123506919433,kg / s,3.9494581210583544,bar,569.1141395306084,kJ / kg,135.30787381850035,C,-7.842696557722604,K,7.842696557722604,K,0.6160435477886563,m^3 / s,0.0010749088674234298,m^3 / kg,0.0,-,1690.3304351934387,J / kgK,l,1
deaerator_drain,0.0,kg / s,3.9494581210583544,bar,2737.47462831806,kJ / kg,143.15057037622296,C,0.0,K,0.0,K,0.0,m^3 / s,0.4679423638715753,m^3 / kg,0.9999999908992478,-,6899.740870260285,J / kgK,tp,1
heater_b_hot_in,103.04156531618456,kg / s,19.43,bar,2098.234881383987,kJ / kg,210.91988988544153,C,0.0,K,0.0,K,6.7059129886109075,m^3 / s,0.06507968864830144,m^3 / kg,0.6310659526061677,-,4904.692091485328,J / kgK,tp,1
heater_g_hot_in,56.75941271126601,kg / s,1.15,bar,1637.9140307814798,kJ / kg,103.56023447110454,C,0.0,K,0.0,K,45.22292119720745,m^3 / s,0.7967475179360213,m^3 / kg,0.5357112475647855,-,4542.602544648494,J / kgK,tp,1
heater_i_hot_in,76.17488010751113,kg / s,0.244,bar,828.1407878880602,kJ / kg,64.4208428428471,C,0.0,K,0.0,K,115.09422081111836,m^3 / s,1.5109209315285768,m^3 / kg,0.23796110704471699,-,2540.795410185005,J / kgK,tp,1
turbine1_out,580.478,kg / s,38.34,bar,3053.1455387852993,kJ / kg,332.4399786668463,C,84.58718500612565,K,-84.58718500612565,K,38.86429276424462,m^3 / s,0.06695222345075028,m^3 / kg,1.0,-,6536.907376585278,J / kgK,g,1
turbine2_out,530.3209559932236,kg / s,19.43,bar,3458.3991256315408,kJ / kg,495.24995049483925,C,284.3300606093977,K,-284.3300606093977,K,95.31939134654185,m^3 / s,0.1797390622967572,m^3 / kg,-1.0,-,7434.091210597808,J / kgK,state not recognised,1
turbine3_out,477.4264346838154,kg / s,9.0,bar,3212.1279670155545,kJ / kg,374.5537584239322,C,199.2033084151065,K,-199.2033084151065,K,156.4055004912926,m^3 / s,0.32760125776209914,m^3 / kg,-1.0,-,7435.648450507748,J / kgK,state not recognised,1
turbine4_out,470.03678537575877,kg / s,3.44,bar,2957.86903972844,kJ / kg,245.83431645261544,C,107.58347314827927,K,-107.58347314827927,K,323.2383336375816,m^3 / s,0.6876873123433883,m^3 / kg,1.0,-,7436.390079049205,J / kgK,g,1
turbine5_out,443.100839422325,kg / s,1.15,bar,2730.012762085004,kJ / kg,127.35208844486198,C,23.79185397375744,K,-23.79185397375744,K,703.3608005121527,m^3 / s,1.587360568824765,m^3 / kg,1.0,-,7437.734653120356,J / kgK,g,1
turbine6_out,412.5884401004375,kg / s,0.244,bar,2481.9428044229735,kJ / kg,64.4208428428471,C,0.0,K,0.0,K,2468.253193524309,m^3 / s,5.982361485754317,m^3 / kg,0.9426620584183839,-,7439.921183629892,J / kgK,tp,1
